date_collected,time,site_name,site_code,subsite_name,lon,lat,salinity,temp,depth_sample (m),depth_bottom_m,collector,field_label,lab_label,notes_field
7/8/16,10:00,Golden Gardens,GG,north,,,32.36,13.51,1,1.5,JOD/RPK,2,,
7/8/16,11:00,Golden Gardens,GG,north,,,30.06,14.73,1,1.5,JOD/RPK,3,,
7/8/16,0:00,Golden Gardens,GG,north,,,32.09,13.86,1,1.5,JOD/RPK,4,,
7/8/16,9:00,Golden Gardens,GG,central,,,32.45,11.1,1,1.5,JOD/RPK,5,,
7/8/16,10:00,Golden Gardens,GG,central,,,31.71,13.58,1,1.5,JOD/RPK,6,,
7/8/16,11:00,Golden Gardens,GG,central,,,31.44,13.32,1,1.5,JOD/RPK,7,,
7/8/16,0:00,Golden Gardens,GG,central,,,30.48,13.53,1,1.5,JOD/RPK,8,,
7/10/16,9:00,Golden Gardens,GG,north,,,30.27,11.4,1,1.5,JOD/RPK,1,,
7/10/16,10:00,Golden Gardens,GG,north,,,30.49,13.56,1,1.5,JOD/RPK,2,,
7/10/16,11:00,Golden Gardens,GG,north,,,30.08,13.3,1,1.5,JOD/RPK,3,,
7/10/16,0:00,Golden Gardens,GG,north,,,32.13,10.21,1,1.5,JOD/RPK,4,,
7/10/16,9:00,Golden Gardens,GG,central,,,32.28,10.31,1,1.5,JOD/RPK,5,,
7/10/16,10:00,Golden Gardens,GG,central,,,32.57,11.4,1,1.5,JOD/RPK,6,,
7/10/16,11:00,Golden Gardens,GG,central,,,31.31,11.51,1,1.5,JOD/RPK,7,,
7/10/16,0:00,Golden Gardens,GG,central,,,31.25,14.78,1,1.5,JOD/RPK,8,,
